18	200483	Hotel Colosseum	Via Sforza 10	Rome	00184	1	3.0	85	4.0	146.2418	41.89597	12.49581	6.353116	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	0.7085092051205975	1.1800172380994565	200483.jpg
19	122008	Hotel Duca D&amp;apos;Alba	Via Leonina 14	Rome	00184	1	4.0	52	4.0	217.0946	41.89481	12.49179	6.466096	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	0.5175765053729721	0.9819228522183496	122008.jpg
20	262643	Cardinal Hotel St Peter	Via Leone Dehon 71	Rome	00165	1	4.0	35	3.5	223.4541	41.89149	12.43701	8.773532	Y	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	N	N	N	N	N	4.576452086492907	3.9603166250935367	262643.jpg
21	340699	Comfort Hotel Roma Airport Fiumicino	Via Tempio Della Fortuna 52b	Fiumicino	00054	1	4.0	55	3.5	279.82962	41.76714	12.23001	19.275135	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	25.677401998627175	25.710646317179958	340699.jpg
22	198411	Ariston	Via Turati Filippo 16	Rome	00185	1	4.0	52	4.0	240.2317	41.8979	12.50353	6.1389556	Y	Y	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	Y	Y	N	Y	N	N	N	N	N	N	N	1.2679842393399487	1.7174918598333646	198411.jpg
23	203867	Radisson Blu es. Hotel, Roma	Via Filippo Turati 171	Rome	00185	1	5.0	85	3.0	284.8241	41.8961	12.50654	5.9408	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	Y	Y	N	Y	Y	N	N	N	Y	N	N	1.3528789925908196	2.0060236388374326	203867.jpg
24	200753	Hotel Cosmopolita	Via Santa Eufemia, 5	Rome	00187	1	4.0	50	4.0	183.83875	41.89685	12.48395	6.87336	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	1.0129334408941562	0.45222702175782065	200753.jpg
25	130596	Britannia Hotel	Via Napoli 64	Rome	00184	1	4.0	52	4.5	181.70892	41.9008	12.4943	6.626762	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	1.1940062927446544	0.921433568714191	130596.jpg
26	174596	Hotel Verona-Rome	Via Di Santa Maria Maggiore 154	Rome	00185	1	3.0	52	4.0	232.49149	41.89758	12.49679	6.385063	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	0.9050511380672052	1.1855390528199328	174596.jpg
27	125720	Hotel Alpi	Via Castelfidardo 84	Rome	00185	1	4.0	52	4.0	273.37607	41.90497	12.50272	6.507052	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	N	Y	N	N	N	N	N	N	N	1.8592640804033955	1.6810477094658005	125720.jpg
28	169108	Grand Hotel De La Minerve	Piazza Della Minerva 69	Rome	00186	1	5.0	52	4.0	476.97778	41.89784	12.47743	7.185502	N	Y	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	1.4953779488404202	0.5825327731016293	169108.jpg
29	125924	Hotel Morgana	Via Filippo Turati 31 33 35	Rome	00185	1	4.0	52	4.0	414.4156	41.89889	12.50195	6.2451057	Y	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	1.2579609481098561	1.5701441552998288	125924.jpg
